Name|Full name|Start time|Result|Category
_01_UploadAndDeleteAFile|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._01_UploadAndDeleteAFile|2024-11-13T19:41:41Z|Passed|smoke|
_02_UploadFileAndVerifyVersionHistory|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._02_UploadFileAndVerifyVersionHistory|2024-11-13T19:42:01Z|Passed|smoke|
_03_UploadFileAndVerifyGenarateSASURIAndInputFieldsReset|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._03_UploadFileAndVerifyGenarateSASURIAndInputFieldsReset|2024-11-13T19:42:22Z|Passed|smoke|
_04_UploadFileAndRestoreVersion|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._04_UploadFileAndRestoreVersion|2024-11-13T19:42:44Z|Passed|smoke|
_05_GenarateSASURI|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._05_GenarateSASURI|2024-11-13T19:43:08Z|Passed|smoke|
_06_UploadAndDeleteAPublicFile|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._06_UploadAndDeleteAPublicFile|2024-11-13T19:43:44Z|Passed|smoke|
_07_UploadJPGFile|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._07_UploadJPGFile|2024-11-13T19:44:18Z|Passed|smoke|
_08_UploadMSIFile|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._08_UploadMSIFile|2024-11-13T19:44:36Z|Failed|smoke|
_09_UploadPNGFile|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._09_UploadPNGFile|2024-11-13T19:44:55Z|Passed|smoke|
_10_UploadEXEFile|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._10_UploadEXEFile|2024-11-13T19:45:14Z|Failed|smoke|
_11_FilterAssetEditor("All","10",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._11_FilterAssetEditor("All","10",null)|2024-11-13T19:45:28Z|Failed|smoke|
_11_FilterAssetEditor("Private","20",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._11_FilterAssetEditor("Private","20",null)|2024-11-13T19:45:43Z|Failed|smoke|
_11_FilterAssetEditor("Public","50",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._11_FilterAssetEditor("Public","50",null)|2024-11-13T19:45:58Z|Failed|smoke|
_11_FilterAssetEditor("All","100",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._11_FilterAssetEditor("All","100",null)|2024-11-13T19:46:23Z|Failed|smoke|
_11_FilterAssetEditor("Private","20",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._11_FilterAssetEditor("Private","20",null)|2024-11-13T19:46:37Z|Failed|smoke|
_11_FilterAssetEditor("Public","10",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._11_FilterAssetEditor("Public","10",null)|2024-11-13T19:47:08Z|Failed|smoke|
_12_ResetAssetEditor("All","2",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._12_ResetAssetEditor("All","2",null)|2024-11-13T19:47:33Z|Passed|smoke|
_13_SortingOrderByPath("All","2",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._13_SortingOrderByPath("All","2",null)|2024-11-13T19:47:48Z|Passed|smoke|
_14_SortingOrderBySize("All","2",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._14_SortingOrderBySize("All","2",null)|2024-11-13T19:48:06Z|Passed|smoke|
_15_SortingOrderByType("All","2",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._15_SortingOrderByType("All","2",null)|2024-11-13T19:48:23Z|Passed|smoke|
_16_ThreeOrMoreCharsAreMandatoryForSearch("Z","All","50",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._16_ThreeOrMoreCharsAreMandatoryForSearch("Z","All","50",null)|2024-11-13T19:48:42Z|Passed|smoke|
_16_ThreeOrMoreCharsAreMandatoryForSearch("ZZ","All","20",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._16_ThreeOrMoreCharsAreMandatoryForSearch("ZZ","All","20",null)|2024-11-13T19:48:57Z|Passed|smoke|
_16_ThreeOrMoreCharsAreMandatoryForSearch("Q1","All","100",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._16_ThreeOrMoreCharsAreMandatoryForSearch("Q1","All","100",null)|2024-11-13T19:49:13Z|Passed|smoke|
_16_ThreeOrMoreCharsAreMandatoryForSearch("Z2","All","100",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._16_ThreeOrMoreCharsAreMandatoryForSearch("Z2","All","100",null)|2024-11-13T19:49:29Z|Passed|smoke|
_17_ResultsMatchSearchCriteria("Capture","All","10",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._17_ResultsMatchSearchCriteria("Capture","All","10",null)|2024-11-13T19:49:45Z|Failed|smoke|
_18_VerifyPreviousNextPageNumberLinksInPagination("Capture","All","10",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._18_VerifyPreviousNextPageNumberLinksInPagination("Capture","All","10",null)|2024-11-13T19:50:17Z|Failed|smoke|
_19_AssetTypes("Public","10","public",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._19_AssetTypes("Public","10","public",null)|2024-11-13T19:50:42Z|Failed|smoke|
_19_AssetTypes("Private","10","private",null)|SpecFlowAutomation.Tests.Features._001_AssetEditorFeature._19_AssetTypes("Private","10","private",null)|2024-11-13T19:51:25Z|Passed|smoke|
_01_GlobalReader|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._01_GlobalReader|2024-11-13T19:51:59Z|Passed|smoke|
_02_PolicyContributor|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._02_PolicyContributor|2024-11-13T19:52:22Z|Passed|smoke|
_03_PolicyPromoter|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._03_PolicyPromoter|2024-11-13T19:52:44Z|Passed|smoke|
_04_EMSLContributor|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._04_EMSLContributor|2024-11-13T19:53:05Z|Passed|smoke|
_05_USBDeviceControlsContributor|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._05_USBDeviceControlsContributor|2024-11-13T19:53:34Z|Passed|smoke|
_06_AssetsContributor|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._06_AssetsContributor|2024-11-13T19:53:56Z|Passed|smoke|
_07_VICTORContributor|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._07_VICTORContributor|2024-11-13T19:54:18Z|Passed|smoke|
_08_PolicyApprover|SpecFlowAutomation.Tests.Features._002_ManageRolesFeature._08_PolicyApprover|2024-11-13T19:54:40Z|Passed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._004_EmslEditorFeature._1_Create|2024-11-13T19:55:02Z|Failed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._004_EmslEditorFeature._2_Edit|2024-11-13T19:55:25Z|Failed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._004_EmslEditorFeature._3_Delete|2024-11-13T19:55:51Z|Failed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._004_EmslEditorFeature._4_Discard|2024-11-13T19:56:13Z|Failed|smoke|
_1_ValidationRulesForIOSApplication|SpecFlowAutomation.Tests.Features._005_ValidationRulesForApplicationIOSFeature._1_ValidationRulesForIOSApplication|2024-11-13T19:56:37Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._005_ValidationRulesForApplicationIOSFeature._2_DeletePolicy|2024-11-13T19:57:27Z|Passed|smoke|
_1_ValidationRulesForWebAppApplication|SpecFlowAutomation.Tests.Features._006_ValidationRulesForApplicationWebAppFeature._1_ValidationRulesForWebAppApplication|2024-11-13T19:57:47Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._006_ValidationRulesForApplicationWebAppFeature._2_DeletePolicy|2024-11-13T19:58:31Z|Passed|smoke|
_1_ValidationRulesForPolicyName|SpecFlowAutomation.Tests.Features._008_ValidationRulesForPolicyNameFeature._1_ValidationRulesForPolicyName|2024-11-13T19:58:52Z|Passed|smoke|
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._009_CreateAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._1_CreatePolicy|2024-11-13T19:59:06Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._009_CreateAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._2_DeletePolicy|2024-11-13T19:59:50Z|Passed|smoke|
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._010_CreateAndDeleteBaselinePoliciesForApplicationIOSFeature._1_CreatePolicy|2024-11-13T20:00:10Z|Passed|smoke|
